date,open,high,low,close,volume
2022-09-06 05:00:00+00:00,19763.0,19838.0,19736.0,19788.0,38.2483
2022-09-06 06:00:00+00:00,19788.0,19890.0,19766.0,19858.0,41.9172
2022-09-06 07:00:00+00:00,19861.0,19948.0,19850.0,19907.0,55.7358
2022-09-06 08:00:00+00:00,19908.0,20019.0,19865.0,20013.0,21.2395
2022-09-06 09:00:00+00:00,20016.0,20025.0,19884.0,19915.0,23.2068
2022-09-06 10:00:00+00:00,19916.0,19997.0,19902.0,19912.0,6.751
2022-09-06 11:00:00+00:00,19914.0,19957.0,19868.0,19914.0,102.9773
2022-09-06 12:00:00+00:00,19915.0,19985.0,19849.0,19853.0,34.3592
2022-09-06 13:00:00+00:00,19852.0,19900.0,19701.0,19770.0,134.7912
2022-09-06 14:00:00+00:00,19781.0,19858.0,19657.0,19842.0,305.4717
2022-09-06 15:00:00+00:00,19841.0,19888.0,19777.0,19815.0,242.7303
2022-09-06 16:00:00+00:00,19817.0,19849.0,19676.0,19750.0,58.0834
2022-09-06 17:00:00+00:00,19751.0,19754.0,18867.0,19111.0,1006.9749
2022-09-06 18:00:00+00:00,19104.0,19134.0,18951.0,18962.0,219.7072
2022-09-06 19:00:00+00:00,18962.0,19011.0,18729.0,18815.0,249.0883
2022-09-06 20:00:00+00:00,18823.0,19007.0,18650.0,18982.0,247.3634
2022-09-06 21:00:00+00:00,18984.0,19078.0,18935.0,18976.0,44.0951
2022-09-06 22:00:00+00:00,18977.0,18997.0,18877.0,18907.0,46.221
2022-09-06 23:00:00+00:00,18908.0,18917.0,18782.0,18791.0,102.238
2022-09-07 00:00:00+00:00,18789.0,18869.0,18660.0,18830.0,83.3269
2022-09-07 01:00:00+00:00,18833.0,18858.0,18781.0,18786.0,33.1373
2022-09-07 02:00:00+00:00,18787.0,18825.0,18539.0,18620.0,122.6538
2022-09-07 03:00:00+00:00,18618.0,18748.0,18616.0,18748.0,42.2317
2022-09-07 04:00:00+00:00,18748.0,18756.0,18671.0,18720.0,28.6164
2022-09-07 05:00:00+00:00,18723.0,18793.0,18712.0,18755.0,36.2252
2022-09-07 06:00:00+00:00,18759.0,18836.0,18728.0,18792.0,38.1576
2022-09-07 07:00:00+00:00,18793.0,18822.0,18728.0,18804.0,16.7706
2022-09-07 08:00:00+00:00,18804.0,18858.0,18772.0,18808.0,21.0383
2022-09-07 09:00:00+00:00,18808.0,18819.0,18768.0,18790.0,10.2376
2022-09-07 10:00:00+00:00,18791.0,18800.0,18733.0,18744.0,14.4878
2022-09-07 11:00:00+00:00,18748.0,18777.0,18699.0,18737.0,30.9068
2022-09-07 12:00:00+00:00,18738.0,18783.0,18678.0,18772.0,21.8184
2022-09-07 13:00:00+00:00,18782.0,18931.0,18781.0,18842.0,64.8275
2022-09-07 14:00:00+00:00,18842.0,18959.0,18819.0,18908.0,73.7071
2022-09-07 15:00:00+00:00,18909.0,18932.0,18858.0,18876.0,140.2761
